store,city,product_id,name,brand,category,subcategory,price,sale_price,currency,quantity,unit,price_per_unit,in_stock,image_url,product_url,barcode,description,scraped_at,_store,_city,_scraped_at
imtiaz,karachi,364249,LU Wheatable Sugar Free S/P 6's Box,,Snacks Confectionary,Biscuits Wafers > Sugar & Gluten Free,265.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000105.jpg,https://shop.imtiaz.com.pk/product/lu-wheatable-sugar-free-s-p-6-s-box-364249,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364250,LU Wheatable S/P 6's Box,,Snacks Confectionary,Biscuits Wafers > Sugar & Gluten Free,265.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000686.jpg,https://shop.imtiaz.com.pk/product/lu-wheatable-s-p-6-s-box-364250,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366398,LU Wheatable Sugar Free F/P,,Snacks Confectionary,Biscuits Wafers > Sugar & Gluten Free,89.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001254.jpg,https://shop.imtiaz.com.pk/product/lu-wheatable-sugar-free-f-p-366398,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366401,Peek Freans Whole Wheat S/P Sugar Free 12's Box,,Snacks Confectionary,Biscuits Wafers > Sugar & Gluten Free,342.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000837.jpg,https://shop.imtiaz.com.pk/product/peek-freans-whole-wheat-s-p-sugar-free-12-s-box-366401,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368136,Lu Wheatable F/P,,Snacks Confectionary,Biscuits Wafers > Sugar & Gluten Free,89.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001253.jpg,https://shop.imtiaz.com.pk/product/lu-wheatable-f-p-368136,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366406,Innovative Frisky Rolls Chocolate 86.4g,,Snacks Confectionary,Biscuits Wafers > Wafers,179.0,,PKR,86.4,g,207.1759,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001291.jpg,https://shop.imtiaz.com.pk/product/innovative-frisky-rolls-chocolate-86-4g-366406,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368144,Innovative Frisky Wafer Strawberry 1'S,,Snacks Confectionary,Biscuits Wafers > Wafers,129.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170002263.jpg,https://shop.imtiaz.com.pk/product/innovative-frisky-wafer-strawberry-1-s-368144,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368145,Innovative Frisky Wafer Vanilla 1'S,,Snacks Confectionary,Biscuits Wafers > Wafers,129.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170002264.jpg,https://shop.imtiaz.com.pk/product/innovative-frisky-wafer-vanilla-1-s-368145,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368146,Innovative Frisky Wafer Chocolate 1'S,,Snacks Confectionary,Biscuits Wafers > Wafers,129.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000813.jpg,https://shop.imtiaz.com.pk/product/innovative-frisky-wafer-chocolate-1-s-368146,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368147,Innovative Frisky Wafer Orange 1'S,,Snacks Confectionary,Biscuits Wafers > Wafers,129.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000814.jpg,https://shop.imtiaz.com.pk/product/innovative-frisky-wafer-orange-1-s-368147,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368148,Innovative Frisky Rolls Milk Cream 86.4G,,Snacks Confectionary,Biscuits Wafers > Wafers,179.0,,PKR,86.4,g,207.1759,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001292.jpg,https://shop.imtiaz.com.pk/product/innovative-frisky-rolls-milk-cream-86-4g-368148,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364264,Peek Freans Click Rs15/- S/P 16's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001106.jpg,https://shop.imtiaz.com.pk/product/peek-freans-click-rs15-s-p-16-s-box-364264,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364273,Peek Freans Saltish H/R 6's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,229.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000172.jpg,https://shop.imtiaz.com.pk/product/peek-freans-saltish-h-r-6-s-box-364273,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364290,LU Bakeri Butter S/P 6's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,265.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001170.jpg,https://shop.imtiaz.com.pk/product/lu-bakeri-butter-s-p-6-s-box-364290,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366409,LU Prince Chocolate F/P,,Snacks Confectionary,Biscuits Wafers > Biscuits,79.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000010.jpg,https://shop.imtiaz.com.pk/product/lu-prince-chocolate-f-p-366409,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366412,LU Candi F/P,,Snacks Confectionary,Biscuits Wafers > Biscuits,79.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000013.jpg,https://shop.imtiaz.com.pk/product/lu-candi-f-p-366412,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366413,LU Zeera Plus F/P,,Snacks Confectionary,Biscuits Wafers > Biscuits,79.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000014.jpg,https://shop.imtiaz.com.pk/product/lu-zeera-plus-f-p-366413,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368161,Lu Tuc F/P,,Snacks Confectionary,Biscuits Wafers > Biscuits,79.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000012.jpg,https://shop.imtiaz.com.pk/product/lu-tuc-f-p-368161,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368162,Lu Bakeri Coconut F/P,,Snacks Confectionary,Biscuits Wafers > Biscuits,79.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000137.jpg,https://shop.imtiaz.com.pk/product/lu-bakeri-coconut-f-p-368162,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368163,Lu Bakeri Nan Khatai F/P,,Snacks Confectionary,Biscuits Wafers > Biscuits,79.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000448.jpg,https://shop.imtiaz.com.pk/product/lu-bakeri-nan-khatai-f-p-368163,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368171,Lu Gala Egg F/P,,Snacks Confectionary,Biscuits Wafers > Biscuits,79.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000015.jpg,https://shop.imtiaz.com.pk/product/lu-gala-egg-f-p-368171,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366418,Peek Freans Choc Sandwitch S/P 16's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001099.jpg,https://shop.imtiaz.com.pk/product/peek-freans-choc-sandwitch-s-p-16-s-box-366418,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366436,Peek Freans Lemon Sandwitch S/P 16's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001113.jpg,https://shop.imtiaz.com.pk/product/peek-freans-lemon-sandwitch-s-p-16-s-box-366436,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364277,Peek Freans Lemon Sandwitch T/P 24's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,228.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/peek-freans-lemon-sandwitch-t-p-24-s-box-364277,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366439,Peek Freans Marie Rs20/- S/P 16's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/peek-freans-marie-rs20-s-p-16-s-box-366439,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,370076,BISCONNI COCOMO CHOCOLATE RS50 POUCH,,Snacks Confectionary,Biscuits Wafers > Biscuits,43.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/bisconni-cocomo-chocolate-rs50-pouch-370076,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368178,Peek Freans Butter Puff S/P Rs20/- 16'S Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/peek-freans-butter-puff-s-p-rs20-16-s-box-368178,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368160,Lu Bistiks F/P,,Snacks Confectionary,Biscuits Wafers > Biscuits,79.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/lu-bistiks-f-p-368160,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366440,Peek Freans Sooper S/P Rs20/- 16's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/peek-freans-sooper-s-p-rs20-16-s-box-366440,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364291,Peek Freans Party S/P 16's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/peek-freans-party-s-p-16-s-box-364291,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364313,LU Chocolate Prince S/P 6's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,265.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/lu-chocolate-prince-s-p-6-s-box-364313,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366438,Peek Freans Gluco Rs20/-S/P 16's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/peek-freans-gluco-rs20-s-p-16-s-box-366438,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368177,Peek Freans Rio Strawberry Vanilla S/P Rs20/- 16'S Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/peek-freans-rio-strawberry-vanilla-s-p-rs20-16-s-box-368177,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364294,LU Milcolu S/P 6's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,209.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/lu-milcolu-s-p-6-s-box-364294,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364269,Peek Freans Marie H/R 8's Box,,Snacks Confectionary,Biscuits Wafers > Biscuits,305.0,,PKR,,,,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/peek-freans-marie-h-r-8-s-box-364269,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364338,Hilal Bake Time Plain Cake Slices 6's Box,,Snacks Confectionary,Cakes Rusks > Cakes,205.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000593.jpg,https://shop.imtiaz.com.pk/product/hilal-bake-time-plain-cake-slices-6-s-box-364338,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364342,Hilal Cup Kake Double Chocolate 12's Box,,Snacks Confectionary,Cakes Rusks > Cakes,205.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000650.jpg,https://shop.imtiaz.com.pk/product/hilal-cup-kake-double-chocolate-12-s-box-364342,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364345,Hilal Bake Time Marble Cake Slices 6's Box,,Snacks Confectionary,Cakes Rusks > Cakes,205.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000594.jpg,https://shop.imtiaz.com.pk/product/hilal-bake-time-marble-cake-slices-6-s-box-364345,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364346,Hilal Cup Kake Strawberry 12's Box,,Snacks Confectionary,Cakes Rusks > Cakes,205.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000347.jpg,https://shop.imtiaz.com.pk/product/hilal-cup-kake-strawberry-12-s-box-364346,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364347,Hilal Cup Kake Chocolate 12's Box,,Snacks Confectionary,Cakes Rusks > Cakes,205.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000348.jpg,https://shop.imtiaz.com.pk/product/hilal-cup-kake-chocolate-12-s-box-364347,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366489,Hilal Bake Time Fruit Cake Slices 6's Box,,Snacks Confectionary,Cakes Rusks > Cakes,205.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000595.jpg,https://shop.imtiaz.com.pk/product/hilal-bake-time-fruit-cake-slices-6-s-box-366489,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364188,Cadbury Dairy Milk Local 90g,,Snacks Confectionary,Chocolates > Chocolates,399.0,,PKR,90.0,g,443.3333,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001268.jpg,https://shop.imtiaz.com.pk/product/cadbury-dairy-milk-local-90g-364188,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368181,Candyland Marshmallow Junior Puff Rainbow 18'S 360G Rs.10/-,,Snacks Confectionary,Chewing Gums Candies > Marshmallow,149.0,,PKR,360.0,g,41.3889,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001504.jpg,https://shop.imtiaz.com.pk/product/candyland-marshmallow-junior-puff-rainbow-18-s-360g-rs-10-368181,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,370048,Candyland Marshmallow Junior Puff Party 18's 360g Rs.10/-,,Snacks Confectionary,Chewing Gums Candies > Marshmallow,149.0,,PKR,360.0,g,41.3889,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001503.jpg,https://shop.imtiaz.com.pk/product/candyland-marshmallow-junior-puff-party-18-s-360g-rs-10-370048,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366452,Ding Dong Chewing Gum Stick 22g 12's Tray,,Snacks Confectionary,Chewing Gums Candies > Chewing Gum,299.0,,PKR,22.0,g,1359.0909,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001286.jpg,https://shop.imtiaz.com.pk/product/ding-dong-chewing-gum-stick-22g-12-s-tray-366452,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366460,Fox's Candy Fruits Pouch 90g,,Snacks Confectionary,Chewing Gums Candies > Candies,299.0,,PKR,90.0,g,332.2222,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170000150.jpg,https://shop.imtiaz.com.pk/product/fox-s-candy-fruits-pouch-90g-366460,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366376,Korneez Butter Scotch 45g,,Snacks Confectionary,Chips Snacks > Popcorn,99.0,,PKR,45.0,g,220.0,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001421.jpg,https://shop.imtiaz.com.pk/product/korneez-butter-scotch-45g-366376,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366377,Korneez Caramel Peanut Premium 75g,,Snacks Confectionary,Chips Snacks > Popcorn,99.0,,PKR,75.0,g,132.0,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001422.jpg,https://shop.imtiaz.com.pk/product/korneez-caramel-peanut-premium-75g-366377,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366381,Korneez Plain Salted Premium 60g,,Snacks Confectionary,Chips Snacks > Popcorn,99.0,,PKR,60.0,g,165.0,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001428.jpg,https://shop.imtiaz.com.pk/product/korneez-plain-salted-premium-60g-366381,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366382,Korneez Toffee Popcorn Premium 75g,,Snacks Confectionary,Chips Snacks > Popcorn,99.0,,PKR,75.0,g,132.0,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001430.jpg,https://shop.imtiaz.com.pk/product/korneez-toffee-popcorn-premium-75g-366382,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366383,Kernel Pop Popcorn Natural 3x90g,,Snacks Confectionary,Chips Snacks > Popcorn,475.0,,PKR,90.0,g,527.7778,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/EDG190000093.jpg,https://shop.imtiaz.com.pk/product/kernel-pop-popcorn-natural-3x90g-366383,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366385,Kernel Pop Popcorn Caramel Coated Bucket 195g,,Snacks Confectionary,Chips Snacks > Popcorn,339.0,,PKR,195.0,g,173.8462,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/EDG190000314.jpg,https://shop.imtiaz.com.pk/product/kernel-pop-popcorn-caramel-coated-bucket-195g-366385,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368123,Korneez BBQ Popcorn 45g,,Snacks Confectionary,Chips Snacks > Popcorn,99.0,,PKR,45.0,g,220.0,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001420.jpg,https://shop.imtiaz.com.pk/product/korneez-bbq-popcorn-45g-368123,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366380,Korneez Cheese Popcorn 50g,,Snacks Confectionary,Chips Snacks > Popcorn,99.0,,PKR,50.0,g,198.0,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/dish_image/1689838441.jpg,https://shop.imtiaz.com.pk/product/korneez-cheese-popcorn-50g-366380,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,374951,Kernal Pop Kettle Popcorn Cheese 45g,,Snacks Confectionary,Chips Snacks > Popcorn,55.0,,PKR,45.0,g,122.2222,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/EDG190002878.jpg,https://shop.imtiaz.com.pk/product/kernal-pop-kettle-popcorn-cheese-45g-374951,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364203,Kernel Pop Popcorn Cheese 90g,,Snacks Confectionary,Chips Snacks > Popcorn,165.0,,PKR,90.0,g,183.3333,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/EDG190000099.jpg,https://shop.imtiaz.com.pk/product/kernel-pop-popcorn-cheese-90g-364203,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364206,Kernel Pop Popcorn Butter 90g,,Snacks Confectionary,Chips Snacks > Popcorn,165.0,,PKR,90.0,g,183.3333,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/EDG190000100.jpg,https://shop.imtiaz.com.pk/product/kernel-pop-popcorn-butter-90g-364206,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364207,Kernel Pop Popcorn Butter 80g Sachet,,Snacks Confectionary,Chips Snacks > Popcorn,109.0,,PKR,80.0,g,136.25,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/EDG190000205.jpg,https://shop.imtiaz.com.pk/product/kernel-pop-popcorn-butter-80g-sachet-364207,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,364204,Kernel Pop Popcorn Cheese 80g Sachet,,Snacks Confectionary,Chips Snacks > Popcorn,109.0,,PKR,80.0,g,136.25,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/kernel-pop-popcorn-cheese-80g-sachet-364204,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,368122,Kernel Pop Popcorn Jalapeno 90G,,Snacks Confectionary,Chips Snacks > Popcorn,165.0,,PKR,90.0,g,183.3333,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/kernel-pop-popcorn-jalapeno-90g-368122,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,366379,Korneez Champs Mix 75g,,Snacks Confectionary,Chips Snacks > Popcorn,99.0,,PKR,75.0,g,132.0,True,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://shop.imtiaz.com.pk/product/korneez-champs-mix-75g-366379,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
imtiaz,karachi,370097,Shahi Nimco Dal Moong Rs.50,,Snacks Confectionary,Chips Snacks > Nimco,41.0,,PKR,,,,True,https://imtiaz-i.s3.ap-southeast-1.amazonaws.com/55126/gallery/CON170001602.jpg,https://shop.imtiaz.com.pk/product/shahi-nimco-dal-moong-rs-50-370097,,,2026-03-11T12:18:59.578924+00:00,imtiaz,karachi,2026-03-11T12:18:59.578924+00:00
